"","subject","trial","stimulus","response","dangerous","correct","eyes","teeth","spots","arms","color"
"113",2,9,"00000.jpg",1,0,0,"0","0","0","0","0"
"114",2,10,"11011.jpg",1,0,0,"1","1","0","1","1"
"115",2,11,"11010.jpg",0,0,1,"1","1","0","1","0"
"116",2,12,"11000.jpg",0,0,1,"1","1","0","0","0"
"117",2,13,"01100.jpg",1,0,0,"0","1","1","0","0"
"118",2,14,"10011.jpg",1,0,0,"1","0","0","1","1"
"119",2,15,"11011.jpg",0,0,1,"1","1","0","1","1"
"120",2,16,"01010.jpg",0,0,1,"0","1","0","1","0"
"121",2,17,"00011.jpg",0,0,1,"0","0","0","1","1"
"122",2,18,"01111.jpg",0,0,0,"0","1","1","1","1"
"123",2,19,"00000.jpg",0,0,0,"0","0","0","0","0"
"124",2,20,"10011.jpg",1,0,0,"1","0","0","1","1"
"125",2,21,"01001.jpg",0,0,0,"0","1","0","0","1"
"126",2,22,"10001.jpg",1,0,0,"1","0","0","0","1"
"127",2,23,"00110.jpg",1,0,0,"0","0","1","1","0"
"128",2,24,"10111.jpg",1,1,0,"1","0","1","1","1"
"129",2,25,"00110.jpg",1,0,0,"0","0","1","1","0"
"130",2,26,"11101.jpg",0,1,0,"1","1","1","0","1"
"131",2,27,"01010.jpg",0,0,1,"0","1","0","1","0"
"132",2,28,"10011.jpg",1,0,0,"1","0","0","1","1"
"133",2,29,"10100.jpg",0,1,0,"1","0","1","0","0"
"134",2,30,"10110.jpg",1,1,0,"1","0","1","1","0"
"135",2,31,"00101.jpg",0,0,0,"0","0","1","0","1"
"136",2,32,"10010.jpg",0,0,1,"1","0","0","1","0"
"137",2,33,"11000.jpg",1,0,0,"1","1","0","0","0"
"138",2,34,"11111.jpg",1,1,1,"1","1","1","1","1"
"139",2,35,"01110.jpg",1,0,0,"0","1","1","1","0"
"140",2,36,"10111.jpg",0,1,0,"1","0","1","1","1"
"141",2,37,"01101.jpg",0,0,0,"0","1","1","0","1"
"142",2,38,"10010.jpg",0,0,1,"1","0","0","1","0"
"143",2,39,"10000.jpg",1,0,0,"1","0","0","0","0"
"144",2,40,"10010.jpg",0,0,0,"1","0","0","1","0"
"145",2,41,"00100.jpg",0,0,0,"0","0","1","0","0"
"146",2,42,"00001.jpg",0,0,0,"0","0","0","0","1"
"147",2,43,"01011.jpg",1,0,0,"0","1","0","1","1"
"148",2,44,"11110.jpg",1,1,1,"1","1","1","1","0"
"149",2,45,"01101.jpg",0,0,1,"0","1","1","0","1"
"150",2,46,"00110.jpg",1,0,0,"0","0","1","1","0"
"151",2,47,"01100.jpg",0,0,1,"0","1","1","0","0"
"152",2,48,"10110.jpg",1,1,1,"1","0","1","1","0"
"153",2,49,"11011.jpg",0,0,1,"1","1","0","1","1"
"154",2,50,"00101.jpg",1,0,0,"0","0","1","0","1"
"155",2,51,"00010.jpg",0,0,1,"0","0","0","1","0"
"156",2,52,"10001.jpg",1,0,0,"1","0","0","0","1"
"157",2,53,"00111.jpg",1,0,0,"0","0","1","1","1"
"158",2,54,"11010.jpg",0,0,1,"1","1","0","1","0"
"159",2,55,"10100.jpg",0,1,0,"1","0","1","0","0"
"160",2,56,"10111.jpg",1,1,1,"1","0","1","1","1"
"161",2,57,"01101.jpg",1,0,0,"0","1","1","0","1"
"162",2,58,"01111.jpg",1,0,0,"0","1","1","1","1"
"163",2,59,"11001.jpg",1,0,0,"1","1","0","0","1"
"164",2,60,"11001.jpg",0,0,1,"1","1","0","0","1"
"165",2,61,"10100.jpg",1,1,1,"1","0","1","0","0"
"166",2,62,"00101.jpg",0,0,1,"0","0","1","0","1"
"167",2,63,"01011.jpg",0,0,1,"0","1","0","1","1"
"168",2,64,"11100.jpg",1,1,1,"1","1","1","0","0"
"169",2,65,"01001.jpg",0,0,1,"0","1","0","0","1"
"170",2,66,"11001.jpg",0,0,1,"1","1","0","0","1"
"171",2,67,"10101.jpg",0,1,0,"1","0","1","0","1"
"172",2,68,"01100.jpg",1,0,0,"0","1","1","0","0"
"173",2,69,"01111.jpg",1,0,0,"0","1","1","1","1"
"174",2,70,"00100.jpg",1,0,0,"0","0","1","0","0"
"175",2,71,"01000.jpg",0,0,1,"0","1","0","0","0"
"176",2,72,"11111.jpg",1,1,1,"1","1","1","1","1"
"177",2,73,"00011.jpg",0,0,1,"0","0","0","1","1"
"178",2,74,"11101.jpg",1,1,1,"1","1","1","0","1"
"179",2,75,"00000.jpg",0,0,1,"0","0","0","0","0"
"180",2,76,"00100.jpg",0,0,1,"0","0","1","0","0"
"181",2,77,"01000.jpg",0,0,1,"0","1","0","0","0"
"182",2,78,"00001.jpg",0,0,1,"0","0","0","0","1"
"183",2,79,"11100.jpg",1,1,1,"1","1","1","0","0"
"184",2,80,"00111.jpg",0,0,1,"0","0","1","1","1"
"185",2,81,"11000.jpg",1,0,0,"1","1","0","0","0"
"186",2,82,"01001.jpg",0,0,1,"0","1","0","0","1"
"187",2,83,"11110.jpg",1,1,0,"1","1","1","1","0"
"188",2,84,"00010.jpg",0,0,0,"0","0","0","1","0"
"189",2,85,"11111.jpg",1,1,0,"1","1","1","1","1"
"190",2,86,"01110.jpg",0,0,0,"0","1","1","1","0"
"191",2,87,"10001.jpg",0,0,1,"1","0","0","0","1"
"192",2,88,"10110.jpg",1,1,1,"1","0","1","1","0"
